Date,DBA,EPP,EWJ,EZA,FEZ,FXE,GLD,ILF,QQQ,SHV,SPY,USO,XBI
2018-01-03,-0.0005270090860058918,0.0060091707929523785,0.013766830160404586,0.004289299380018763,0.003913054874941313,-0.00421685412003403,-0.002636850395774437,0.010792540774130277,0.009716293865274173,0.0,0.006325339255632612,0.022369549676082512,0.013301199321744228
2018-01-04,-0.0015822760179694528,0.003501529604989395,0.012270852914145758,-0.003843974693535812,0.017783396463288526,0.00501256525728655,0.00512737855482448,0.0033717844288441157,0.001749895337882501,0.0001813791869378356,0.004214781370313725,0.002431096645075792,-0.011542464158768473
2018-01-05,-0.005282577296527813,0.005952243043806371,0.0027478338062747465,0.008432228334322556,0.010052259468973146,-0.0027517847932004846,-0.0010361649479244672,0.010921279848123744,0.010043016305764096,0.0,0.006663776945507571,-0.004850401495348988,-0.003548783555615276
2018-01-08,-0.006903830899925412,-0.0024483581442218405,0.005802761296531234,-0.012188333049409361,-0.004028290782241428,-0.0060360529120072615,-0.00015961279955856167,-0.003324149733872628,0.003890745441232246,0.0,0.001828908411130925,0.005686408808944554,-0.01987598554403336
2018-01-09,0.0021388936149795423,0.0012272786698834803,0.0006408548123280067,0.006886741662506246,0.0007137254451117236,-0.002429043466109726,-0.0046284750854691525,-0.007226193639757961,6.160025013191017e-05,0.0,0.002263623803913317,0.015347300373743211,0.025553923033398318
2018-01-10,-0.003735179892878304,-0.006128776619928056,0.00640629786199387,-0.013251621609628783,-0.00356629090080407,0.0018262684019816344,0.002405158456580736,-0.006438824864742232,-0.0023377506606560017,-9.096874022929136e-05,-0.0015299085529594247,0.008751043199854314,0.012572786067895247
2018-01-11,-0.0037493945450245425,0.005961094197643568,0.006683570675032557,-0.007797784065909696,0.006203576287784118,0.006076397755880425,0.003279242310744168,0.016905995345827485,0.006844463263158573,9.097701629379173e-05,0.007295858528078236,0.001577247918613356,0.006208509972314147
2018-01-12,-0.002150604745188245,0.005312425580245028,0.0031614975454146155,0.012079695203964125,0.013991392060020091,0.012942210316307268,0.012117319941670202,0.006373093453567513,0.007348760840242052,9.052535075615431e-05,0.006518941784853238,0.013385832980085777,0.005384589524034977
2018-01-16,-0.0010775138942999973,-0.005081173872203304,0.0,0.008771952596856591,0.002572144185950531,0.006473590800798457,0.0016540570729914883,0.0024777843733851945,-0.0028572248816874923,9.081272288469222e-05,-0.0034181760905157565,-0.008546981946804255,-0.03101991116423297
2018-01-17,0.00809060200722489,0.007967200834251509,0.008036568009988532,0.016535814193944676,0.003732326269562103,-0.004316207045756637,-0.008099385028916384,0.016478960893166583,0.010791177442838862,9.095224637634125e-05,0.009531787225105726,0.0015673592265372793,0.013588317577233777
